Organic Nation


Phil Wohl


Smashwords Edition
Copyright 2009 Phil Wohl

This eBook is licensed for your personal enjoyment only. This eBook may not be re-sold or given away to other people. If you would like to share this book with another person, please purchase an additional copy for each recipient. If you’re reading this book and did not purchase it, or it was not purchased for your use only, then please return to Smashwords.com and purchase your own copy. Thank you for respecting the hard work of this author.



ON

	“Please empty your pockets,” the prison guard said with all of the emotion of an extension cord.
SUV-DRIVING, GAS-GUZZLING, FAST-FOOD EATING, NON-RECYCLERS. THIS GROUP WOULD NOT FREELY ADMIT TO FREQUENTING THE RESTAURANT, BUT THE GNAWING CURIOSITY AND DESIRE TO LIVE LONGER WOULD OVERRIDE ANY “GREEN” EMBARRASSMENT.


Management

Organic Nations is the brainchild of Chief Executive Officer Brad Green.  Green suffered a heart attack in his mid-40s and is committed to a healthier lifestyle, which included organic foods.

Chief Operating Officer Joe Margolis has spent the last 20 years operating the successful Margolis Bakery.  Joe will be immersed in the day-to-day operations of the restaurant, including sourcing ingredients from the Long Island-based, Salt of the Earth food distributorship.

Organic Nation’s creative culinary genius is Executive Chef Maggie Paget.  Paget spent over 10 years in the restaurant industry and was classically trained at the Le Cordon Bleu Program at the San Francisco, California Culinary Academy.

Dr. Amanda Fellows, the company’s Executive Director of Nutrition, completed her residency at NYU Medical Center in Manhattan, after earning her degree from Cornell University.  Fellows is currently the Director of Nutrition at Nassau County Medical Center.

Financials

Most important to Organic Nation is a positive imprint on the community.  One percent of all profits will be invested back into local causes, including school food programs, playgrounds, walking trails and floral beautification projects.

Profits will be achieved by attaining a high level of volume in order to fully leverage economies of scale.  The restaurant will utilize only quality, natural ingredients, but will control costs through economies of scale in the form of volume discounts.  Menu prices will be fair, but affordable – good food should be priced accordingly – customers will get value for their dollar.

The market and financial analysis indicate that with a start-up expenditure of $300,000, Organic Nation can generate over $700,000 in sales by year one, $825,000 in sales by year two and produce a net profit of 10.5% on sales by the end of year two.

Future locations will have solar panels with installed to save on energy costs.  Each location requires two cooks, one sous chef, two counter people and one drive-thru attendant.

Objective
1.Sales of $700,000 the first year and more than $825,000 the second year.
2.Personnel costs less than $100,000 the first year, $150,000 the second year.
3.Profitable in year two, better than 10.5% profits on sales in year two.


Public Education

Every recyclable cup, plate, and bag from Organic Nation has consumer education about a “green” life printed throughout.  Customers will be educated about organic foods, recycling, pesticides, renewable agriculture, hybrid and electric vehicles, and efficient, natural home energy.


The Organic Nation concept was so successful that the company accelerated its growth and achieved profitability after year one.  Brad broke his own promise and decided to hang on at school for one more year.  Opening two more Organic Nation locations—in Wantagh, near the Wantagh Parkway, and Rockville Center just off Sunrise Highway—which definitely put a strain on this decision.
	The company’s explosive growth pushed Brad to walk out on school by the Christmas break, although he had already mentally checked out before the school year began.  He had become sort of a local celebrity once the second and third location opened.  The buzz was so strong that Newsday did a Sunday magazine section expose on Organic Nation.
	Brad had avoided swankier areas of Long Island solely because the real estate was so expensive, but it wasn’t long before the towns of Roslyn, Merrick, and Dix Hills came calling.  Green was “in” and that meant Organic Nation was poised to shift to its second stage of evolution: the dine-in restaurant.

Visiting Day

	Prisoners had virtually no restrictions on visitors, yet the flow of Brad’s visitors was limited by the mental beating the collective had suffered as the result of his tunnel vision.  He had been in jail for six months and only greeted one visitor.
	“You look great, Amanda!” Brad glowed as he stepped up to hug the good doctor.
	She smiled, “Getting away from you was the best thing I ever did.”
Amanda left her job at the hospital once Organic Nation opened its fifth location.
	“I need you full time,” Brad said to Amanda after the Huntington grand opening.  The double entendre was more of a personal play than a professional plea.  The two had flirted openly for over a year but had still not consummated their obvious relationship.
	She blushed and then Brad tried to move in for the kill, “I’ll double your ON salary.”
	The smile slid from her face, “I still won’t be making more than my hospital salary.  What about the benefits?”
	Now it was Brad’s turn to smile.  “I’ll pay you 20% more than your current salary.”
	She nodded in approval and replied, “What about the benefits?”
	Brad was finally at his breaking point.  The invisible, yet unscalable wall between doctor and patient all of the sudden didn’t seem so insurmountable.  He took a few steps forward and officially stepped over the line.
	“Let’s start with me and then we’ll fill in the gaps with insurance, retirement plans, and other perks.”  Brad moved in and Amanda met him in a passionate kiss.  A few moments later, they came up for air.
	“I want my own office,” she said.
	“Done,” Brad replied as he went back in for a second helping.  The scrum quickly transitioned from Brad’s kitchen to his bedroom.  After three hours of continuous pleasure, Amanda sighed and said, “Done.  I don’t get any of that at the hospital.”
	Dr. Amanda never regretted her decision to leave her public service job for a corporate opportunity.  Within seven years she was a multi-millionaire, had a boat-load of stock options, had a husband, and was starting to think about children.
	Seven years of uncontrollable success had finally gotten to Brad’s inflated, graying dome.
	“If I told you once I told you 37 times, I don’t want children!” Brad said with all of the conviction of a seasoned life insurance agent.
	“But I do!” Amanda shot back.
	Brad didn’t even blink, “Then you’ll have to find a sperm donor somewhere else!”
She matched his stare, “Done.”
Amanda cashed out her stock options in a few lots - representing about $25 million in after-tax profits - and then filed for divorce, citing “Irreconcilable Differences.”
Once the couple split Brad’s assets, Amanda was worth about $400 million, give or take a few million.  He was worth close to $1 billion at the time of the divorce, and would peak at $1.5 billion a few years later.  She took a two-month vacation at a spa in Palm Springs and then decided to open a clinic for children suffering from various afflictions.  The “Kid Planet” cost Amanda about $25 million to build, but the rewards of the new-world facility gave her riches beyond any financial bounty.
The not-for-profit facility was also connected to the Brenda Fellows Foundation, which was named for Amanda’s eight year-old sister who died from an aneurism.
Amanda had met many caring and brilliant people throughout the planning process, but no one had impacted her personally and professionally as much as Dennis Thatcher.  Dennis was the younger brother of Art Thatcher, who just happened to be Brad Green’s business manager.
Dennis left his brother’s management firm about three minutes after he was rebuffed for noticing some improprieties in the Green account.  He could smell the stench building in the unattended financials dumpster, and didn’t want to hang around while the ship of greed sank as fast as the stock market in the midst of a crash.
Brad left a message on Amanda’s voice mail one day.  “Hey, it’s me.  Great to see you doing so well.  I heard about your project and it sounds like a great idea.  Not sure about the non-profit angle, but I think you should talk to a trusted advisor.  I’m obviously not that guy, so here is Denny Thatcher’s number…”
Amanda was obviously hesitant to employ Brad’s advice at first.  Although their breakup had been amicable, primarily because he was knee-deep in women willing to fight to be the next Mrs. Green, it was nonetheless a painful breakup.  Amanda had put her career and her life on hold for the opportunity of a lifetime.  She decided that greed and status would no longer be a part of her world.  Of course it was easier walking away with a truck full of cash under her mattress.
Amanda stopped working at Organic Nation but still believed wholeheartedly in the product.  She lived just outside of the town of Huntington and ate many of her meals at the ON location in town.  On this particular night, she called ahead and walked in to pick up her take-out order.  People waiting for their order sat on long, bright green bench made of recycled materials, which was situated near the front of the restaurant.
“I have a Prius and a solar panel,” the well-groomed counter manager (CM) said in calm voice.  ON used any opportunity to educate its patrons, and by handing people recycled cards with information on one side and a picture on the other, no stone was left unturned.
A distinguished gentleman stepped next to Amanda and said, “I was hoping to get the whole grain card.”
She smiled and replied, “I came up with that one.”
“Here you go, Miss Fellows,” the CM said.
“And, for you, Mr. Thatcher.”
They looked at each other and the magic happened.
“All of the sudden, I’m not in such a rush.  Do you want to get a table?” he said.
“Alberto, can we have a quiet table for two?” Amanda asked.
They handed their recycled paper bags back and Alberto said, “I’ll have these plated for you, Miss Fellows.  Brison, please escort Miss Fellows and Mr. Thatcher to table 12.”

While Amanda was getting used to eating alone, she nonetheless missed the fun times she had with Brad in the early years.
“You know, you were a lot more fun in the beginning,” she said to Brad as they strolled through the prison atrium.
“I sort of lost myself and you along the way,” Brad stated.  “What brings you here today?  Not that I mind the company.”
Amanda looked in Brad’s eyes and sighed, “Nobody’s been here to see you?  Am I the first person to visit you?”
Brad showed vulnerability for a change and replied, “Yes.”
“Can’t say that you don’t deserve it big guy.  Anyone make you their bitch yet?” Amanda deadpanned.
“The only bitches in here are in the K-9 unit.”
“I came to ask you a question,” Amanda said.
“Shoot,” Brad said.
“Where did you go wrong with the expansion?” she asked.
They stopped walking and sat down on a couch.  Brad sat back and thought a few seconds before replying.
“I tried to manage everything myself instead of letting the people at the individual locations do their jobs.  The centralized management structure worked well when we were small but when we ballooned out of control, things started to unravel.  Why do you ask?  Do you need a consultant?”
Amanda rolled her eyes, “God, no!  We were thinking about opening a few more Kid Planet’s in the U.S. and possibly one in either France or Spain.”
“You gonna’ stay non-profit?” Brad asked.
She looked down on him like a disappointed mother, “Of course!”
He replied, “Some things never change!”

Brad flashed back to the first big fight he had with Amanda.  She was concerned with the apparent misuse of charity funds.
“Is that money really going back to the community?” she asked.
“What are you saying?  What about that playground we put up at Prospect Park and the garden we planted at Uniondale High School?”
“Okay.  That was year one.  What happened after that?” she said.
He replied without hesitation, “We have a number of projects in development.”
“A number of projects in development?  A number projects in development?  What are these projects?”
He countered, “Our community relations director is in discussions with several town boards.”
She became enraged, “We have a community relations director?  There are 50 employees in the company and I have never met this person!  How is that possible?”
“She’s a part-time employee,” Brad said.
Amanda stared Brad down, so he folded and revealed the source.  “Sheila Levine.”
“Sheila the Stalker?  You hired Sheila the Stalker?”
Brad replied, “Hired is more of a liberal term.  She has taken on the role in a more unofficial capacity.”
“You’re not even paying her?” Amanda exclaimed as she became even more incensed.
Brad had enough of the conversation, “Do you like making money?”
“What do you mean?” she replied.
He had no patience, “What do I mean?” he muttered under his breath.  “If I hire a person full-time to complete the task, then that will take money out of all of our pockets!”
“So, that’s what all of this is about?” Amanda said as she looked around the room with her arms spread wide.
Brad took a deep breath and answered, “What do you think, that I went into business to save the world?”

“Wow.  I really got out of control, didn’t I?” Brad said as he readjusted on the jail couch.
“Yeah, you got lost in the money,” Amanda stated.
Brad nodded in agreement, “I couldn’t stop myself after it took off.”
“Are you getting therapy in here?”
He smiled, “You could call it that.”
“What do you mean?”
“There is a therapist on staff, but I have chosen my own form of therapy,” Brad explained.
Amanda sat quietly, trying to once again figure out the puzzle that was Brad Green.  “You never fail to confuse the hell out of me.”
“I’ve discovered cooking,” Brad said with a straight face.
Amanda was taking a sip of water and nearly forced the water from her nostrils out of shock!  Then she started coughing.
“Are you all right?” Brad asked as he patted his ex-wife on the back.
“Wrong pipe,” she said in a scratchy voice as the final coughs sounded off.
“Cooking?  I had to coax you into getting me a bottle of water from the fridge.”
“I know.  It started when I was doing dishes and then I was on vegetable prep duty.”
Amanda then pulled out a tissue and blew her flooded nose.  She located a garbage can and then tossed the soiled rag in the target.
“You actually got your hands dirty?  Wow!  There might still be hope for you.”
They looked at each other and said simultaneously, “Maybe.”

Chef Green

The prison was so white collar that there was a cork board in front of the mess hall that listed a group of classes/activities available to inmates.  Some prisoners turned to religious studies, but these men tended to be on the fringe of the mainstream.  The majority of these wealthy businesspeople had given up standardized religion earlier in their lives in favor of giving praise to the almighty dollar.  Praise given to greenbacks seemed to pay off for the 123 men and 12 woman dedicated to procuring lofty levels of greed in place of sound business ethics and spirituality-based morals.
While there were many felons that cost thousands of hard-working people their jobs, houses and families, there were just as many men that cheated quietly in the dark recesses of their paper-infested offices.  One such man was Bruce Wasserstein, a high-powered attorney for the New York-based law firm, Klein, Barrett, and Wasserstein.  In fact, Wasserstein represented Brad Green in his trial.  Two months after Green was sent to jail, federal charges were levied against Wasserstein and his partners for padding their billable hours.  Ironically, this suit was brought on by the new management of Organic Nation and its shareholders, in the hope that they could more swiftly emerge from Chapter 11 bankruptcy proceedings.
Wasserstein was a complete Sands Point, Long Island snob, but he had incredible taste buds.  He had slowly introduced Brad to the world of gourmet food and wine in the four years since they became associated.  Bruce Wasserstein was a classic bandwagon jumper - he never made a bet until the outcome seemed certain, or if he received inside information.
Once Organic Nation made the front page of the Wall Street Journal, Bruce moved in like a hawk that had just spotted a mouse.  After all, he said, “Every successful company needs an equally successful attorney.”
Brad was impressed with Bruce’s class.  The man reeked of success with his Armani suits and perfectly-pressed, French cuff shirts.  Brad had grown up solidly entrenched in the middle class and was looking to vault upwards.  Simply having more money than all of the people you grew up with, does not the upper class make.  Associating yourself with the upper crust of society also does not transition you permanently into a higher class, but having money over the long-term will probably get you in the building.
Moving from Brooklyn to Long Island in the early 1960’s was no easy chore, but it was a path that most people decided to take.  Leaving the crowded nature of the inner city for the open spaces of the new country effectively destroyed the fabric of the nuclear family.  Moving from apartment/tenement buildings into houses meant the generational chain had been permanently severed; that children, parents, and grandparents would never live in the same house again as able-bodied contributors.  Suburban life meant independence, and independence translated into the detachment of future generations.
While it was certain that two year-old Brad enjoyed the company of his grandparents, adult Brad had little or no memory of even knowing them.  He was always a loner, preferring to work on solo projects versus bonding together with others to accomplish a common goal.  His ventures always started out with a group of people, but inevitably ended as a mission of one.  A case in point was that several key executives of ON committed crimes, but only Brad went to jail.  He had so distanced himself from his co-workers that they had no problem copping a plea and testifying against him.  Menial fines and probation were their punishment, while Brad lost almost everything and had to endure cooking classes and investment clubs for five years.
Money had become such a cumbersome part of Brad’s life that it seemed to burden his every thought.  Cutting corners and deceiving the community were only the first two strokes off a brush painting a picture of the most colorful and vivid rainbow.  In the corporate world, however, the rainbow followed a Category 5 hurricane that wiped out the entire community.

Brad and Charles had many long conversations about money and they both came to the same conclusion: "If we made it once, we can make it again.”
Brad’s only chance to access his hidden fortune would be to leave the country and live the rest of his life on a beautiful beach, watching awe-inspiring sunset after awe-inspiring sunset.  While that would have worked for 999 people out of 1,000, it was not Brad’s idea of a happy life.
“I’m gonna’ give the money back to my employees and the community,” Brad said while using a Q-tip in his ears.  He walked out of the bathroom to hear Charles’ response.
“Do you think the government will go for that?”
“I’m not going to run it by the government,” Brad stated.
“What?  Are you going to write a thousand cashier’s checks?”
Brad smiled and then walked back into the bathroom.
“What are you going to live on when you get out of here?” Charles asked.
Brad walked out of the bathroom and picked up one of the notebooks that Charles had been writing in.
 “This,” Brad boldly exclaimed.
“Yeah, but we don’t have a publisher,” Charles said in a dejected tone.
“You need to get back on the horse again my friend.  What’s with this can’t shit?  Get the hell on the horn and find us a publisher!” Brad said.
Charles stood up and quickly removed his wool sweater vest.
“I’m sick of wearing these stupid vests!”
He tossed the vest in the garbage and then took off his glasses and threw them in the garbage.
“I can’t stand these glasses anymore!  Give me the name of that doctor who did your laser surgery!”
“Wow!  That hit a nerve.  You do have another pair of glasses until then?” Brad questioned.
“No, I don’t,” Charles said and then scurried to fetch his glasses from the trash.
Brad’s dream was to make enough money on the book and then open his own restaurant.  He also planned to keep a nice chunk of his offshore money as a launching point.  Sending 200 former Organic Nation employees checks of $50,000 each would cut about $10 million of his $25 million account.  Another $10 million would be sent to the various towns ON was located, leaving Brad with $5 million to play with for moderate housing and business start-up expenses.
Brad looked at his ocular-challenged friend and stated, “I’ll pick up the cost of the procedure.”
“You don’t have to,” a proud Chuck replied.
“That’s what friends do,” Brad said as he put his arm around his roommate.
“It’s been a long time since I had a real friend,” Brad continued as the two men shared a genuine moment for the first time in years.

Brad’s journey to becoming a chef was as up-and-down as a Six Flags roller coaster.  He spent many of those earlier days and nights in the test kitchen with Joe and Maggie, trying to come up with the right mix of menu items for Organic Nation.
“The early days were the company’s most bold” according to Brad.  His taste buds were one of the first lines of defense for a company still crawling in diapers.
While Brad never so much as raised a carrot peeler or a strainer, his culinary vision was unparalleled.
Comments like “Needs more nutmeg,” about the Organic Pumpkin Pie and “Add pesto to the 12-grain Turkey and Cranberry Club,” were finishes touches to dishes in need of a personality.  And Brad Green had more than enough personality to go around.  He learned so much from being around Margolis and Paget that he used their continuous innovation in his own creations in prison.
The first time Brad put Portobello Mushroom with Pecan Crust on the menu it met with some short-lived resistance.  After that dish ran out after only 20 minutes, the inmates learned to trust Brad’s food choices.  Brad once again utilized local growers and got back to the basics with his mantra at Organic Nation: provide great food that is also healthy for you.
 Charles quickly became Brad’s sous chef once he tasted his cooking.
“We should open a restaurant when we get out of here,” Charles stated.
That was the first time Brad even considered the idea of his life after the scandal, and prison, and his interaction with Charles.

I was born in a small town…

	The self-serving nature of an autobiography made it imperative for Brad and Charles to be objective in an interesting way.  The initial drafts of the books looked more like the inside of a therapy session than an interesting book about a dramatic fall from power on Wall Street.
	Before Organic Nation, Dr. Amanda Fellows had just endured the worst break-up of her life.  She had broken the code and started a hot-and-heavy relationship with a fellow intern.  The relationship lasted three years until Amanda started hearing the deafening sound of the proverbial ticking clock.  
	“Gary, why are you so mad?” Amanda said to her boyfriend, Gary Moses, as they walked into their one-bedroom apartment.
	“I don’t appreciate it when you hit me with this passive-aggressive relationship pressure!” he replied.
	“I asked you if you thought it was time we took the next step.  What was wrong with that?”
	I don’t need that kind of pressure!  You know that I’m trying to get the shotgun spot on the cardiology team.”
	Amanda stayed fixed in a freshly-poured tub of concrete, and she could feel the sandy substance hardening around her with every breath of life her self-centered boyfriend extracted from her.  At that moment, she saw the future clearly.  A future that did not include Dr. Gary Moses and a life that focused on rising star Brad Green.
	When Brad called Amanda that fateful day, as she was probably a day or two away from kicking down his door.  Her hypocritical oath precluded her from dating patients, but Brad was not a patient anymore and she had indeed lost all of her patience.
	It had been a year and-a-half since they met in the hospital.  At that time, Brad was overweight and hadn’t slept regularly in months, yet he was still surprisingly appealing.  His appeal might have been only as wide as a mother’s love, but she was used to seeing people at their worst.
	When Amanda first saw the leaner, healthier version of Brad, her eyes nearly popped out of her head.  She had first seen professional opportunity with a secondary objective of romance.  After all, work always preempted play in Amanda’s world.  She hit the drive-thru of Organic Nation about as many times as she said, “This will only sting for a moment,” to her patients.  She had fallen for the food, so falling for the man would become a mere formality.
	“Let’s meet at the Organic Nation in East Meadow,” Brad said to Amanda as he made his daily rounds to the various locations.  It helped to have a hybrid car with all the driving he did each week.
	Amanda was driving south on Merrick Avenue and crossed over Front Street before she clicked down her left turn signal and stopped before the light.  She saw Brad getting out of his car and a smile came across her face.  This was going to be a good day - the kind of day that would change her life.
	Brad knew a sure thing when he first saw it.  He had a foreshadowing when he first met Amanda in the hospital.  It took the Angel of Mercy herself to conger healthy thoughts in his mind.  Before Amanda walked into the room, the ocean of self-pity and loathing was pulling Brad out with the tide.  He felt there was nothing to live for, and continuing to walk into the light was the only route he could see.
	Amanda stepped out of the car and any thoughts of maintaining her professional integrity went out of the window as he approached.
	“Doc, it’s great to see you again!” Brad said as he opened his arms wide in preparation of a big hug.
	She barely uttered a sound as they melted into a very friendly hug.  Her usual sturdy handshake never got out of the greetings garage.  Brad never wanted his interaction to be normal, because his company was a few paces left of the mainstream.
	They broke the hug and the good doctor said, “Enough with the doctor stuff!  Please call me Amanda.”
	“All right, Amanda.  Why don’t we get something to eat and let the rest just fall into place?”
	She smiled and replied, “Sounds like a plan.”
	Leaving the hospital right away was not the plan that Amanda had for her immediate future.  In fact, she expected a promotion to the board of directors of Nassau County Medical Center to come through any day.  If that developed, it would have been next-to-impossible for her to walk away and start a whole new life.
	Half-way through her chicken, bean, and brown rice burrito,” Amanda’s phone rang.
	“Excuse me,” she said to Brad.  “This will only take a second.”
	Amanda slid her vibrating cell phone out of the holder on her belt.
	“Dr. Fellows,” she said in her professional voice.
	Brad spent most of his life observing body language.  He took a bite of his favorite turkey sandwich with basil pesto spread and cranberries, and let the action/reaction guide his thoughts.
	“We’ve come to a decision about the board position,” a voice iterated on the other end of the line.
	Amanda turned her back on Brad to invoke the illusion of privacy.
	“While your qualifications…” the voice explained, positioning his words to cushion the blow of failure.
	When the name “Dr. Gary Moses,” was spoken, Amanda had already moved on.  She wiped away a tear as Brad used all of his strength to stay anchored to the bench and not smother her moment.  She took a few seconds to collect herself, and then re-clipped her phone to her belt.
	“Problems at the hospital?” Brad asked trying to reinvigorate the conversation.
	She was trying to hold back the tears but the wave of emotions took her over.  The next 20 or 30 words were drowned out by uneven breathing and wailing tears.
	“You don’t need to be under-appreciated anymore.  Come work with us full time,” Brad stated.
	It took him a year, however, to make her an offer she couldn’t refuse. They constantly toed the line between a personal and the professional relationship.
	Brad finished telling the story to Charles and then the two men looked at each other like they had just discovered America.
	“I need more stories like that, “Charles said in a demonstrative way.
	Brad smirked and replied, “Well!  I got plenty of ‘em.”

Closing the Door

	Just as Brad and Organic Nation were hitting a high point in its existence, the phone rang in Brad’s office.
	“Yes!”  Brad yelled into the speakerphone at his secretary.
	“There’s a person on the phone that claims she’s your sister, Rachel.”
	The usually unflappable executive replied, “I’ll take it,” and he took a deep breath before picking up the phone.
	“Brad Green,” he said in his most professional voice, not letting his feelings of insecurity bubble over anywhere near the surface.
	“Brad, it’s Rachel,” a voice filled with insecurity, anger, and angst filtered through.
	“Hello, Rachel.  What can I do for you?”
	Rachel was Brad’s older sister by three years, and had spent the past 30 years as a housewife in Plainview, Long Island.  Brad hadn’t spoken to her in over five years, just before he had his heart attack.  No one from his family showed up at the hospital and that was good enough for Brad - he was all set, anyway.
	“Dad is dead,” she said without any hesitation or feeling.
	Brad had recently turned 50 and was amazed that he hadn’t received the call about his 80 year-old father.  Papa Greenberg wanted nothing to do with his “fruity” son.  Father was always disappointed that his son walked away from the income and stability of the family business.  Henry Greenberg would not even open up to fatherly pride when his son graced the cover of TIME magazine as “Man of the Year” for his contribution to the health and wellness of a nation.  He had put a gag order on the entire family, so no member of the Greenberg clan had shared their sense of pride with Brad.  This, in turn, hardened Brad’s heart.
	Brad offered no response to the announcement that his father had passed away.  The awkward silence was broken by Rachel.
	“Did you hear what I said, Bradley?”
	Brad put the call on hold and slammed the headset against his desk, partially shattering the earpiece.  He hit line three and heard his sister saying, “Are you there?”
	“Where and when?” Brad said as if he were making plans for lunch.
	Rachel needed a moment to compose herself.  She made her best effort not to jump through the phone and strangle her brother, much in the way she had done when they were kids.  Her reaction would have fallen on the deaf ears of her superstar brother, anyway.  The family had gone to event after event for years and accepted accolades for Brad’s success without hinting the relationship had moved from the outhouse to the icebox.
	“Sunday, 11 a.m.,” she said knowing the conversation would be over once she divulged the information.  The one thing she still knew about her brother was his abhorrence for small talk.  The guy never wasted time, even if it hedged on being slightly rude or abrupt.
	Brad heard the words and quickly wrote the information down while hanging up the splintered phone.  He pressed the speaker button and said, “Catherine, I’m gonna’ need a new phone in here.  This one seems to be broken.”  He pressed the speaker button again and within five minutes, an anonymous worker hustled into the office and replaced the phone.  The worker tried to make eye contact, but Brad was quickly off into his bathroom to take care of some even-numbered business.
	The thought of saying, “Mr. Green, the new phone is in” popped into the technician’s head, but quickly disappeared when he heard the sound of Brad’s formerly iron-cast stomach exploding.  It wasn’t the proudest moment in corporate executive history, but it was one of the more honest reactions in recent memory at Organic Nation. 
	“Why are you getting so dressed up?” Amanda asked Brad on that Sunday morning.
	“It’s not important.  I’ll be back in a few hours,” a robotic Brad answered.
	“You look like you’re going to a funeral,” she said trying to add some levity to the heavy mood.
	Instead of blowing up, Brad laughed and replied, “I’ve been dressing up for this day for the last five years.”
It took a few more minutes of cajoling for Amanda to wedge her way into Brad’s dark world.  He finally came to the conclusion that it would be a lot cooler to sit in the last row of the cemetery chapel with a drop-dead gorgeous blonde, rather than slinking in and sulking alone.
He finally turned to Amanda and said, “You wanna’ come with me?”
Amanda didn’t bother to ask where they were going, because she knew that if Brad Green had anything to do with it the day would surely be an adventure.
“We are here today to celebrate the life of Henry Greenberg,” the aged rabbi said to the 60-plus mourners.
It took Amanda a few seconds to put two and two together, because she knew Brad’s legal name was Green.  She thought back to the time when she was in the hospital and she was sure his chart said “Green.”
“When did you change your name?” she whispered.
“When I became a teacher,” he answered.
Brad thought it would be easier to have the name Green as a professional.  This angered both of his parents, who thought Bradley was rejecting his heritage.  His aim was primarily to simplify his life, with a secondary objective to take a shot at his overzealous parents.
He sat in the back row and his mind proceeded to erase every other person in the room with the exception of his father.  He walked slowly to the front of the room and opened the shiny wood coffin.  His father’s arms were folded on his chest and his eyes were closed until he slowly opened them.
Henry looked at his son and exclaimed, “Bradley, so glad you could make it!”
Brad helped his dad out of the coffin and they walked out the side door and strolled through the cemetery.
Henry Greenberg - at least his subconscious in the back of his son’s mind - was telling his son how proud he was of him.  His dad, in the early years, was very supportive and loving, and that was the father Brad chose to remember on that day.
Brad was in his own world throughout the 25-minute ceremony and then chose to walk around with Amanda when everyone else went to the grave site.
“I know my dad is proud of me,” he said to Amanda as they sat down on a stone bench.
She snuggled close to her husband and replied, “What father wouldn’t be proud?”
He felt the ground was a place for worms and dirt, not bodies without life.  Throwing dirt on a box was not the way Brad wanted to pay homage to his father.  Instead, he decided to start the Henry Greenberg Scholarship Fund to send local teenagers to Israel for the summer.  The scholarship went on as planned for the two years before Brad diverted the funds to pay for his own vacations.  At least four or five kids got to see the homeland before Brad opened Organic Nation locations in Japan and Norway.  Most of the money was sunk into happy endings after that.
A few years after Brad’s dad passed away, his mother walked up to death’s door.  This time his sister alerted him before his parent crossed over to death.
“Mom is asking for you,” was all she said when leaving a message after hours.  Amanda was not around this time because Brad had pushed her out the door, and life was pretty much a beautiful mess.
Phyllis Greenberg did not want her last breath on earth occurring in a hospital, so Rachel made sure that Hospice made her mother as comfortable as possible at home.  
Brad walked through the door of his parents’ house for the first time in 15 years, yet the smells and sights immediately brought him home.  His sister nodded and he returned the welcoming gesture before heading upstairs to see his mom.
He had become an extremely public persona, but this was one moment that he preferred to keep behind closed doors.  He tapped lightly on his parents’ bedroom door and walked into the dimly lit room.  The nurse on duty was told repeatedly that, “My son is coming to visit me,” but she didn’t realize who her son was.
Nurse Patty blushed at the sight of such a celebrity and then walked out of the room.
“Is that my son, the king of Wall Street?”  
The tears started flowing out of Brad’s eyes as he got down on his hands and knees and crawled over to his mother’s bedside.
“Yes, it’s me mom.”
Brad looked into his mother’s eyes and realized that she was on the verge of passing on.  She slowly lifted her wrinkled, frail right hand and tenderly caressed his face, only the way a mother could.
“Don’t cry, Bradley.  The pain will be gone soon.  You just have to promise me one thing.”
Brad grabbed a tissue from the nightstand and blew his nose.  “Anything, mom.”
“Don’t ever forget where you came from,” Phyllis said with all of the guided purpose of a good mother.
Brad extended his hand and gently placed it on the covers above his mother’s stomach.
“I came from right here,” he said as mother and son shared their final special moment.
“Phyllis Greenberg died later that night and Brad gladly paid for the funeral and all related expenses.  He even purchased his parents’ house and gave all of the $500,000 directly to his sister as part of her inheritance.  He might have overpaid for the house but he never felt better.  Brad also had the foresight to put the house under his sister’s name even though he retained ownership of it.  Although he didn’t live in the house after buying it, he was constantly renovating the property to suit his changing needs.

Home, Sweet Home   

	Brad’s primary connection with the outside world was a contractor he used on most of his restaurant projects.  Guy Fillano never imagined that his little weekend renovation projects would turn into a multi-million dollar empire.
	“Do you have a card?” a business-like Brad asked Guy.
	Guy dropped his head down and was having difficulty putting his next words together.
	Brad put his hand on the hard-working Fillano’s shoulder.
	“Business rule number one.  Even if you don’t know the answer, you know the answer.  Look, I know you’re a hardworking man, but I don’t think you have the capacity to handle what I can throw at you.”
	Guy picked up his head and boldly replied, “I don’t know, Mr. Green?  I have a pretty big family.”
	And with that, a reasonable partnership was born.  Fillano Brothers transitioned through the years into Fillano & Sons, and the money and credibility they received from being associated with Organic Nation never seemed to diminish.  It was one of the few associations that avoided the free-fall of the sinking ON ship.
	Guy Fillano knew nothing about organic and natural food, but he did have a knack for innovative design.  His mother’s classic tomato sauce was about as natural as it gets, and so were many of the foods he ate.  Guy was a quick study since he was a kid.  All of the kids in his Levittown neighborhood knew where to go when they had broken toys and bikes in need of repair.  By the time he was 16, he had a large shed in the backyard that he used as a workshop.
	Thoughts of college fleeted quickly as Guy’s brother Salvatore implored him to expand their small repair business.  The business was named Fillano Brothers, even though Sal changed his mind and decided to go to college only six months after Guy committed to the endeavor.  Guy decided to continue to do what he loved, instead of abandoning a money-making business in favor of the cash drain of college.
	Initially, Guy was simply fixing lawnmowers and other outdoor equipment, but quickly transitioned to house-related jobs one afternoon following a conversation with a neighbor.
	“I can’t believe how quickly you got this done,” Gary Summer said to Guy one Saturday morning as he picked up his lawn mower.
	“Mowers aren’t very complicated,” Guy replied.
	“Do you ever do home repair?” Gary asked.
	Guy laughed, “Yeah, inside the house.  I just built our extension last year.”
	“Would you mind if I looked at it?” Gary inquired.
