CHAPTER 1

Houston, Texas	
	Later, that night, Steve was back in his cell telling Willie what had happened to him that day. Willie knew exactly what he was going through; he had been raped several times over the years in his frequent visits to the pen. “One thing about life in this place is the fact that you’re gonna have to give up the booty sometimes,” he said trying to be of some comfort. “It’s just a fact of life. You gotta watch your back in here all the damned time and that ain’t no shit. Niggers, Messkins, white motherfuckers. Hell, everybody’s got some kind of gang in here and all of ‘em is lookin’ to make somebody their bitch. You just stick with me, I’ll watch out for ya and you can watch out for me. Shit, you’ll be outta here in no time, you just wait and see and when you get out, you’ll have to come on over to Junction, Texas and see me. We’ll party down then.” He looked over at Steve who was still lying over on his bunk crying.
	“I’m gonna kill the motherfuckers that did this to me,” Steve sobbed.

	Steve was paroled and eight months later, he was back in Houston working the late shift at a Burger King where he and a coworker, a good looking girl named Kathy were closing up for the night. As she was clearing out one of the cash registers, she glanced over at Steve and smiled when she saw that he was watching her. 
	“What are you gonna do when we leave here?” he asked.
	“Go home, I guess. Do you need a ride?” she smiled.
	“That would be nice,” he grinned,
	Kathy was curious about Steve; she had heard that he had been to the pen. “The manager told me to keep an eye on you,” she said as she was driving him home. “He said that you had done some time in prison. What were you in for?”
	“I borrowed my aunt’s car without askin’ and she got all bent out of shape over it,” he told her. “You know, I’m really not a thief.”
	“That’s good to know,” she smiled.
	“All of that is behind me now. I just want to work and lead a normal life just like everybody else. I just made a couple of stupid mistakes, that’s all.”
	They pulled up in front of Steve’s apartment and she stopped just before he got out of the car. “Wanna come in for awhile?” he asked Kathy. “We can drink a Coke or something like that.”
	“Sure, why not?” she smiled.
	They get out of the car and walk up to the door. Kathy found a note on the door while Steve was digging in his pocket for the keys to unlock the door. “Looks like someone left you a message.”
	Steve nodded and took it from her as they walked inside. He turned on the light to read the note and after he read it, he crumpled it up and threw it in the trash. “Those sons of bitches, I wish they would leave me alone!”
	“Bad news?” she asked. 
	He took a deep breath and shook his head no. “It’s not such bad news. You see, I was on probation out in Sutton County before I went to the pen. Now, they want me to report in out there.”
	“They came all the way out from West Texas to leave a note on your door?” she asked knowing that was unlikely.
	“No. The note was from my parole officer. They had been in touch with him,” he explained. “They say that they’re gonna revoke my probation if I don’t report in, but you know what I say? I say fuck ‘em!”
	“Wait a minute; you were on probation before you went to the pen? What for?”
	“Felony possession of marijuana,” he answered with a grin.
	“Wow, are you a criminal or what?” she joked.
	“Or what, I guess,” he smiled at her.
	
	Two days later, while Steve was working the day shift, a deputy sheriff came in during the lunch hour rush and stood with the other customers waiting in Steve’s serving live. He stepped up to the counter when it was his turn.
	“May I help you, sir?” Steve asked ready to take his order. 
	“No, thanks, I’m not here to eat. I’m looking for an employee here by the name of Steve Thompson,” he said and looked down at Steve’s name tag. “Would that be you?”
	The smile faded from Steve’s face. “Why are you looking for me?”
	“I have a warrant to arrest you and hold you in the county jail for revocation of probation in Sutton County. You stay there until you can be transported back to Sutton County by one of their deputies.”
	Steve’s face turned red. “You gotta be shittin’ me!”
	


	
	  
	
	
	

 
	 
	






CHAPTER 5

	Deputy Peterson escorted Steve inside the Sutton County jail, they came through the door laughing and joking around with each other. He knew Steve well and did not even have handcuffs on him. “Hey, John, look who’s back,” Peterson called out to the jailer.
	John came out of his office smiling. “What the hell are you doin’ back here?” he asked Steve.
	“Shit, I don’t know,” Steve grinned.
	“Emilio revoked his probation, but he’s on parole in Harris County,” laughed Peterson. “Can you make this asshole a trusty or something?”
	“Oh, I’ll find something for him to do,” John said and then turned to Steve. “Go in there and get you some jail clothes on. You know how Sheriff Jones is about his jail clothes. Everybody’s gotta wear ‘em.”
	“Well, I’ll make you a good trusty,” Steve promised John. “Anything to keep from getting’ locked up.”
	“I’m sure you will, Steve. I’m sorry that you had to come back here.”
	Steve walked on alone to the supply room and changed out of his street clothes into his jail uniform. Meanwhile, Emilio came through the front door of the jail where John and Peterson were still talking. Peterson looked over at the short, chubby probation officer and shook his head. “Why the hell did you wanna bring that kid back here for?” he asked.
	“He broke his probation,” Emilio answered. “Do you mind if I talk to him in private in the booking room?” he asked John.
	“Not at all.”
	Peterson watched as Emilio went back into the booking room. He shook his head thinking that it was all just a glitch in the paperwork somewhere and when it was cleared up, Steve would be released. He walked out the door leaving the jail because he did not want to be around Emilio.
	Steve’s attitude changed immediately when he came inside the booking room and sat down. Emilio was busy shuffling papers around and did not look up to see the hatred in Steve’s eyes as he sat there glaring at him. Emilio finally looked up at Steve when he was through shuffling his papers. “Okay let’s talk,” he said. “Do you know why I had you brought back out here?”
	“So you could fuck with me?”
	“No, I had you brought back here because I knew that you were out of prison and still, you didn’t have the time to call or report in to me and let me know your whereabouts.”
	“Oh, bullshit! You knew where I was, you even talked to my parole officer!”
	“That’s right, I found you. You should have known that I would. I even gave you a month’s warning before I had you arrested and still, you didn’t report in. Why not?”
	“Look, man, I just got out of prison. I got myself a job and all I wanted to do was work and make an honest livin’ for myself. That’s all I was tryin’ to do. Shit, you knew that I lived in Houston; you knew that before I ever came to this shithole place to finish high school. Remember? My probation was moved out here from Houston. Why didn’t you just send it all back to Harris County when I went to the pen?”
	“Why didn’t you just come and take care of it yourself when you got out? That’s all you would have had to do.”
	“Well, let’s do it now since I’m here,” Steve suggested. “Let’s do the paperwork and maybe, I can get back to my job before I get fired, if I haven’t been already.”
	Emilio shook his head. He personally did not like Steve and at this point, he wanted to send him back to prison. “It’s too late for that, Steve; your probation has been revoked.”
	“You mean that you’re gonna send me back to prison over this? Over this bullshit stuff here?” Steve’s face was burning red with anger as he shouted. “I haven’t done anything! I had a job, man! I was workin’ and everything. I was tryin’ to get my life back together and now, you’re gonna send me back to the pen for nuthin’!” He stood up from his chair and pointed his finger at Emilio. “Fuck you, you dumb assed Mexican!”
	John walked inside the booking room to see what all of the shouting was about. “Are you boys about to fight?” he grinned hoping to ease the situation.
	“You wouldn’t believe what this asshole is gonna do to me,” Steve shouted at him.
	John nodded his head with a smile. “Yes, I would. He tries to do it to everybody that comes in here”
	His remark angered Emilio even further. “You know, I get a little tired of your smart remarks every time I came in here. I’m just doin’ my job and I think that you should too. Try to act like a professional!”
	John looked over at him with a half smile on his face. “I know that you’re just doin’ your job, but you don’t have to enjoy it so much.”
	Emilio stood up and pulled a small container out of his pocket and pitched it to Steve. “I need you to pee in that.”
	“What for? You’re already gonna send me to prison anyway,” he said and pitched it down on the desk. “Piss in it yourself.”
	“You don’t wanna get on my bad side, boy,” Emilio shouted at him. 
	“What are you gonna do, put me in jail” Steve asked and then walked out of the room.
	“That boy has a serious attitude problem,” Emilio said to John as he started gathering his papers from the desk.
	“Just leave your piss bottle here and I’ll get him to piss in it later after he cools down some,” John told him. Emilio nodded his approval and headed for the door. Ya’ll come back and see us sometime,” John called out after him. “Asshole,” he added when he was sure that Emilio was outside.

	Steve was on the second floor of the jail mopping around the bullpen which was aggravating a large black man named Weeks who was awaiting trial for child molestation. Weeks was watching the TV, which was sitting on a stand outside the bars of the bullpen since the prisoners were not allowed to have the television inside of the cell. Steve, while mopping, intentionally turned the TV so Weeks could not see the screen. “Hey, boy turn that back around so I can see it,” Weeks demanded.
	“I’ll turn it around when I get through mopping,” Steve told him while continuing on with his work. 
	“Well, you do a good job cleanin’ that floor, you dick suckin’ white boy,” Weeks said trying to provoke him.
	Steve stopped mopping and looked over at him. “Why do I have to be all of that?” he asked. “What’s your problem today, Weeks?”
	“I ain’t got no problem other than the white man,” Weeks said.
	“So, why are you fuckin’ with me today?”
	“Because you’re a cocksuckin’ motherfucker and I don’t like your lily white ass. I knows how you keep this job, man, you be downstairs suckin’ on the jailer’s dick!”
	Steve stood there for a moment looking at him. “At least, I ain’t no baby rapin’ nigger!”
	Weeks jumped to his feet and rushed to the bars mad as hell. “Boy, you’d better watch what you call me!”
	“Why? Fuckin’ little kids is what got you in here, ain’t it?” Steve asked coolly. 
	Weeks was standing up to the bars holding on tightly to them. “Motherfucker, the next time they let us out of here for some free time, I’m gonna kick your sorry ass! That is, unless John has you downstairs suckin’ his dick!”
	“Fuck you, nigger, you can’t do shit!”
	“I’m gonna show you what I can do when these bars ain’t keeping’ us apart!”
	Steve dropped his mop and went to the trusty cell. He reached under his mattress and got a pair of brass knuckles that he had hidden there and put them in the waistband of his pants. He then got a Styrofoam coffee cup and filled it up with water from the lavatory. He walked back to the bullpen area carrying the cup of water and poured it into the vents on the back of the TV and it immediately shorted out. “There, Weeks, watch TV now, you asshole!”
	All of the inmates in the second floor bullpen started shouting and yelling for John. “Get your ass up here, jailer!”
	“You better get on up here before your boy gets himself killed,” Weeks shouted.
	John heard all of the commotion upstairs and quickly went up to investigate. “What’s goin’ on up here?” he puffed as he got to the bullpen. 
	“That dumb motherfucker poured water on our TV and shirted it out,” one of the inmates shouted.
	John looked over at the TV and saw that it was not working. He also saw all of the water laying in the floor around the stand. He turned to Steve with a look of concern on his face. “What did you do that for?”
	“I didn’t do that,” Steve quickly denied. “That fuckin’ nigger did it tryin’ to get me locked up.”
	“You’re a lyin’ asshole, man,” another one of the inmates shouted.
	“Steve, that’s jail property,” John told him puzzled that Steve would do such a thing. “Go get your stuff, I’m gonna have to lock you up on the third floor.”
	Steve turned red from anger. “Why?” he shouted.
	“Because you destroyed jail property,” he calmly said.
	“But that nigger started it,” Steve shouted.
	“It don’t matter who started it, I’m endin’ it.”
	Steve stood there, bright red and shaking. John was watching him closely thinking that he was going to have to fight him, but Steve suddenly turned and quickly walked to the trusty cell to get his things. He made sure John was not watching and put the brass knuckles inside of his blanket as he rolled it up.
	“That motherfucker is crazy, man,” Weeks shouted at John who just nodded and walked toward the stairs that led to the third floor with Steve following after him. “I’m gonna fuck you up, boy,” Weeks hollered at Steve.
	John unlooked the bullpen cell door on the third floor and held the door open for Steve to go inside. Steve was sullen as he walked inside and threw his   things down on a bunk. He turned to John who was locking the door. “Why are you doin’ this to me?” he asked.
	“I ain’t doin’ nothing,” John answered. “You’re doin’ it to yourself.”
	Steve shook his head as he walked over to his bunk and sat down. “Fuck this place!”
	John went downstairs and posted a memo on the memo board instructing the other jailers to never let Weeks and Steve out for free time together. That rule was strictly enforced for three weeks and then one day, it was completely ignored by another jailer who let the two out together.
	Steve was prepared for the occasion and had the brass knuckles tucked in the waistband of his pants. He simply walked up to Weeks and started beating the hell out of him about the face and head. Over and over, he punched him until the other inmates restrained him. By then, Weeks was unconscious and bleeding on the floor.
	Assault with a deadly weapon was added to Steve’s stay there and John felt bad because he felt responsible for Steve getting the brass knuckles. It had happen one day when the toilet in a third floor cell was stopped up so bad that he had to call a plumber down to fix the overflowing mess. To speed things up, John had sent Steve up there to remove the commode while they waited for the plumber to arrive. A prisoner from days gone by had hidden the brass knuckles there under the commode and when Steve removed it, he found them. Of course, he did not tell John about his find, he hid them in case he ever needed them. Never the less, John blamed himself because he had let Steve work up there unsupervised. 

	Steve and the other three inmates in the third floor bullpen heard John walking up the steps. “Mail call,” John told them as the bars. “This one is for you, Steve,” he said holding the letter through the bars. Steve pushed an inmate named Vaughan out of the way to get his letter. He sat down on his bunk and began reading the letter after John had gone back downstairs. It was from his Father.

Dear Steve,
	I can’t tell you how disappointed the rest of the family and I are to hear that you’re back in jail. It seems to me that you will never straighten out your life with your total disregard for the laws of this state, this nation, the laws of God and my laws for this family. Trouble just seems to follow you around. I would blame myself for your actions, but your problems are your’s and your’s alone. If that was not true, your brothers and sisters would be in trouble as well. But, of course, they are not. They are all doing very well and appear to be making something out of their lives.
	No, Steve, I will not send you any money out there for cigarettes, snacks and personal items. I never dreamed that I would be writing such things to my own son, but I feel that it would be in all of our best interests if we didn’t hear from you again. You never wanted to be a part of this family, you always acted like you hated us all and now, I am disowning you.
	Whatever you do with the rest of your life is of no concern to us, it will strictly be your business. I do, however, wish you the best. It hurts me to have to write such things to you and I wished to God that I didn’t have to, but your actions leave me no choice. The rest of the family and I can’t go on wondering where we went wrong with you.
	It may or may not be of any concern to you, but your Mother’s health is failing and that is one of the reasons that I have decided that it would be for the best of we didn’t hear from you again.
Goodbye and good luck,
Fred
	Steve angrily tore the letter up and threw it in the trash. He walked over to Vaughan and knocked him off of the bench where he was sitting watching the TV through the bars. “From now on, this is my bench and my TV and my area,” he told the other inmates. I’ll beat the fuck out of any one of you bastards that gets close to me!”
	The next day John came up the stairs and found that Steve had hung up blankets around his bunk and area to keep the other inmates out of his space. “What’s this?’ he asked Steve.
	Steve pulled back a blanket to see out. “What’s what?”
	“This,” John said pointing to all of the blankets.
	“Privacy.”
	“Take ‘em down,” he ordered.
	His orders angered Steve who jerked the blankets down from the bars. “When in the fuck am I gonna get out of here and go on to the pen? I’ve been here five fucking months!”
	“And whose fault is that, Steve? You came here on a glitch in your paperwork and instead of waitin’ until it all got straightened out, you added more charges to yourself and had to have a trial, but worry, they’ll just take off all of this time you’ve been here off of your sentence as time served,” John scolded.
	“Yeah, right,” Steve scoffed.




CHAPTER 6

	Eight months later, Steve was paroled from prison vowing to never go back again. Although his stay was not long, this second time around was much worse than his first. It was one thing to be a tough guy in a county jail, but it was quite different in the pen, there was always someone a little bigger and a little tougher. This time, he had insulted a black guy who happened to have a few friends. They caught up with Steve one day and he was severely beaten and raped. 
	Steve had decided to turn his life around; the only problem was that he did not know in what direction it was going to turn in as he got off the bus at the Greyhound Bus Terminal in Houston. Carrying only one bag, he walked through the terminal and out the front door to the street. He was standing at a busy intersection waiting for the pedestrian light to change to walk when Trisha Fomby, a middle aged woman, pulled up in her black Cadillac convertible and smiled when she looked over at him. “Honey, you look lost. Can I give you a ride somewhere?”
	Steve smiled and nodded and stepped over to her car and got in.
	“My name is Trisha,” she introduced herself. “What’s your’s?
	“I’m Steve,” he grinned thinking that he was having extraordinarily good luck. The light turned to green and they took off. “I just came in from Dallas on the bus,” he lied. “I came down here looking for work.”
	“How do you feel about the oil business? My husband is a hot shot in a big company. I’ll just put in a good word for you; it won’t be any big deal. Certainly, no sweat off his ass. So, where you going anyway?
	Steve shrugged. “Anywhere you take me.”
	“You’re a trusting soul, aren’t you?” Trisha smiled. “I like that in a man. Especially, a good looking young man.”
	Steve sat back in the seat and relaxed. “Nice car.”
	“My husband bought it for me. A present, of sorts, for being such a sorry bastard for all of these years.”
	“Nice guy.”
	“Say, do you wanna go on a picnic?” Trisha asked suddenly to change the subject. She really did not want to talk about her husband at this point.
	“Sure, why not? Sounds good to me,” Steve smiled, she reminded him of his Aunt Betty in a way. Lonely, middle aged woman, overly friendly with a much younger guy in hopes of getting laid.
	“I just had to get out and do something today,” she told him. “I was bored shitless. My dear husband is away on a business trip and won’t be home for three more days. I just had to get out and do something different from what I do every single day.” She stopped talking and suddenly laughed. “Listen to me! I’m going on and on and you probably don’t give a damned anyway, do you?
	“Talk away,” smiled Steve. “I’m a good listener.”
	By nightfall, they were sitting alone on a beach outside of Galveston. Trisha was still talking and Steve had grown tired of hearing her rattle on and on. “My kids, you just can’t beat ‘em. Mark is a med student at Baylor and Lavelle is going to Hardin Simmons University in Abilene. I swear I don’t know why she wants to go all of the way up there; it’s so far from home and everything. She’s up there all by herself, she don’t know a soul, but she says she likes it there.”
	“Don’t you ever shut up?” Steve asked aggravated.
	Trisha was shocked at his sudden rude behavior. “I thought we were having a good time!”
	“You been talkin’ all day,” he said moving in closer to her. “Let’s do something different,” he said just before he kissed her.
	Trish pulled away laughing. “Now, I know why you want me to stop talking!”
	They kiss passionately and she laid back in the sand and began to unbutton her blouse. She moaned in pleasure as Steve started kissing her breasts and while he was kissing them, he opened his eyes and saw that her eyes were closed and she was breathing heavily. He continued to watch her face as he kissed her breasts moving from one to the other and then suddenly, without warning, he grabbed her throat and began to choke her. 
	Trisha’s eyes opened in terror, Steve’s grip around her neck was no tight she could not make a sound or get any air at all. Steve was so excited that he had an orgasm and his breath was taken away as he watched the life fade from her eyes. After a moment, he was so out of breath that he has to stop choking her, but is was too late for Trisha, she was already dead. He sat there on top of her for a moment panting to catch his breath and then stood up to look around to make sure that no one was near. When he was sure that no one was around, he rushed to the car and once inside, he checked her purse taking her cash and credit cards. He then pitched the purse out on the ground, started the car and drove away. He headed out on I-10 west and never slowed down until he was well away from Houston.

	Kitty, Willie Wells’ wife opened the front door of her run down, trashed out house in Junction, Texas to see who was knocking. She did not know Steve, but he recognized her from the pictures Willie had of here in prison. “Is Willie here?” he asked.
	She looked Steve over and to the black Cadillac before she answered. “No. Who are you?”
	“I’m a friend of his from the joint,” he explained.
	Kitty nodded. “Come on in. He’ll be here in a minute. Him and this other guy went out to make a beer run.”
	Steve stepped inside the cluttered mess of a house. Sonny, a seven year old boy, was sitting in the floor watching television. Steve cleared up an area on the couch large enough for him to sit down. 
	“You want a beer?” Kitty asked him as he sat down on the couch. “There’s a couple left in the refrigerator.”
	“That would be good,” he smiled wondering how anyone could live in such filth.
	She walked out of the room and Steve noticed a cleaning tray with marijuana in it sitting on the coffee table. Kitty returned with the beer and handed it to Steve. Just as he was about to open it, Willie and Robbie walked in through the front door carrying a 30 pack of Busch. Willie smiled when he saw Steve sitting there. “Shit, it’s you! I was wonderin’ who could be drivin’ that fuckin’ fancy car out there!” 
	Steve recognized Robbie instantly because he was one of the guys that raped him the blanket room in the pen that day. Robbie, on the other hand, did not know Steve. He looked him over, but he did not remember him. “Do I know you?” he asked.
	Steve nodded nervously. “We met over at the Walls Unit.”
	Robbie nodded and smiled. He thought he had seen Steve around before, but just could not place him. “I guess that’s where I’ve seen you.”
	“Probably so.”
	Sonny turned around from the TV. “Ya’ll be quiet, I can’t hear my show!”
	Robbie, who was standing right next to Sonny, turned around and kicked the little boy in the shoulder. The blow knocked the boy over in the floor. “Shut up, you little fucker,” he shouted at the kid.
	Sonny sat back up in the floor rubbing his shoulder and crying. “Daddy,” he said looking over to Willie expecting him to do something about Robbie kicking him.
	Willie glared at him. “I guess that’ll teach you to keep fuckin’ mouth shut, you little bastard!”
	“But Daddy, I couldn’t hear,” said Sonny still crying. 
	Willie rushed over and slapped the boy hard on the head and then turned the TV off. “Get the hell outside, you little bastard and don’t come back until we call you!”
	Sonny jumped to his feet and quickly ran outside. Willie turned to Steve and smiled. “So, did your Daddy buy you that car?”
	Steve shook his head no with a big grin on his face. “Daddy don’t wanna see me no more,” he laughed. The sorry son of a bitch!”
	“So, where’d you get that car?” Willie continued to question.
	“I’ll tell you later,” Steve smiled. “You wanna drive it?”
	Willie looked over at Robbie with a grin. “What do you say; you wanna take a ride in a rich man’s car?”
	“Sure, I guess so.”
	Willie took the boys for a ride in the black Cadillac through the hills in Kimble County. He was driving and enjoying every minute of it. Robbie sat in the front with him while Steve was in the back relaxing. “So, tell me, where did you get this car?” Willie asked looking in the rearview mirror at Steve.
	“I stole it off of a woman in Houston,” he finally admitted.
	Willie and Robbie both laughed. “Don’t you think that the bitch might be lookin’ for it?” Robbie asked.
	“I don’t think so. I killed her,” Steve calmly confessed.
	“You what?’ Willie shouted at Steve. He slammed on the brakes so he could stop the car and turn around and look directly at Steve.
	“I choked her to death and then I stole her money, her credit cards and this car,” he continued on.
	“You dumb son of a bitch,” Willie hollered at him. “What the fuck do you mean comin’ down here to my house in a hot fuckin’ car? You probably left a fuckin’ paper trail all the way out here!”
	“You’re a dumb motherfucker, ain’t ‘cha?” Robbie asked.
	“Hell, yeah, he’s a dumb motherfucker,” Willie said to Robbie. “The son of a bitch must be lonesome and wants all of us to go back to the pen together!” He pulled the car into gear and peeled out. “We gotta get rid of this car!” He looked back at Steve in the rearview mirror. “You’re tryin’ to get my ass on death row, ain’t ‘cha?”
	“Why don’t we go back and get your car and we’ll follow dumb fuck here down to Lake Amistad and we’ll dumb the car in the lake there at a place I know where the Devil’s River flows into it.” Robbie suggested.
	“Sounds good to me,” Willie said and then looked in the rearview mirror at Steve. “Does that sound okay to you hotshot?”
	Steve nodded his approval and they drove back to Willie’s house.
	
	Willie reached up on top the refrigerator to get the car keys and Kitty slapped him in the back. “No, dammit, I said you wadn’t takin’ my car, you son of a bitch!”
	Willie turned around and pushed her away. “Shut the fuck up, bitch, I’ll do as I damned please!”
	She slapped him again and this time, it made Willie mad. He grabbed her by the collar and hit her several times in the face with his fist knocking her two front teeth out. She fell to the floor crying with blood running out her mouth. 
	“See there, bitch?” he screamed at her. I told you that you’d better stop fuckin’ with me! I’ll kill your motherfuckin’ ass if you don’t stop fuckin’ with me and I’ll do it in a heartbeat! You know I will! I mean it!” He turned and stomped out of the room and went into the living room where Steve and Robbie were waiting on him. 
	“Wife trouble?” Robbie smiled as he got up.
	“That fuckin’ bitch,” Willie said walking to the front door.

	It was night when Steve parked the Cadillac on the edge of cliff overlooking Lake Amistad Reservoir. Willie and Robbie pulled up directly behind him in Kitty’s old green Ford. They get out to go over their plan with Steve. “We’ll push that son of a bitch over the edge with my car and then we’ll cover up all of our footprints. We might as well make the fuckin’ pigs work for their money and not leave ‘em any clues at all,” Willie told them.
	“You go that right, Robbie agreed.
	“Wait a minute,” Steve them before anyone had a chance to begin their task. “There’s something I wanna get out of the trunk.” He reached inside the car and pulled the trunk lever. “This is important,” he said walking to the trunk.
	“If there’s any cash in there, take it, but let that bitch’s credit cards go to the bottom of the lake with the car,” Willie said.
	Steve pretended to be looking for something in the trunk and grabbed the tire tool He turned around with it in his hand and quickly hit Robbie in the side of the head as hard as he could. The vicious blow instantly killed Robbie and he fell to the ground, but Steve hit him once more just to make sure that he was dead.
	Willie watched in disbelief. “Damn, man, what the fuck did you do that for?”
	Steve stood there panting trying to catch his breath and then he howled like a dog. “Shit, that felt good,” he shouted. He turned and slapped Willie on the shoulder. “That son of a bitch raped me in the pen and he didn’t even remember me!” He looked down at Robbie’s dead body and kicked him. “I guess you won’t be butt fuckin’ anybody else, you sick fuckin’ faggot!” He then looked back over to Willie. “If I could find that other son of a bitch, I’d kill him too! In fact, I’d kill all of them sons of bitches that raped me!”
	“Man’s what’s got into you?” Willie asked surprised at his behavior.
	“You remember that time in the pen when you was telling me how good it felt when you clubbed that nigger to death that raped you?” he asked Willie.
	“Yeah, I remember.”
	“Well, I didn’t believe you. I thought you was just shittin’ me when you told me about the rush you get when you kill somebody.” He stopped talking for a moment and puffed to catch his breath. “And then I killed that bitch,” he laughed. “It was the best feelin’ I ever had! I choked that bitch and I choked that bitch and I came all over myself and I didn’t even fuck her!” He looked back down at Robbie. “You know what I wanna do now? I wanna go find somebody else to kill!”
	Willie shook his head and patted him on the shoulder. Damn, man, slow down a little. Let’s finish this job first.”

	Steve took another hit off of the joint that were smoking as Willie was driving back to Junction in the wee hours of the morning. He exhaled slowly. “If I had my choice of who I would kill next, it would be my parents or them niggers that raped me the last time I was in the pen. Either way, I’d be getting somebody that’s fucked me!”
	“Steve, why did you come to see me?” Willie asked.
	Steve suddenly laughed. “I didn’t have nowhere else to go! Besides, you taught me everything I know and I wanna know more.”
	“What if we get caught, son of a bitch, have you ever thought of that?”
	“What this ‘we’ shit?” Steve asked. I ain’t gonna get caught. The day I got out of prison was the day that I stepped off the face of the earth. There ain’t nobody that knows shit about where I am or what I’m doin’. Nobody but you partner and you damned sure ain’t gonna tell nobody nothin’.” He suddenly laughed. “You’re gonna be with me livin’ the good life! I figure that you and me can ride around the country and have us a good time. When we need a car, we’ll steal it, when we need some money, we’ll steal it and when we need some pussy, we’ll take it!”
	“I don’t know, Steve, what about my old lady?” Willie asked.
	“Shit, man, I know you don’t wanna stay with that ugly whore and her bastard son! I know it and you know it. Let’s don’t bullshit each other. We both know if you stay with that ugly bitch, you’ll be back in jail in less than a month. If you go with me, you might up back in jail alright, but what a hell of a ride it’s gonna be getting’ there!”

	Back at Willie’s house, he walked into the bedroom to wake up Kitty. “Wake the hell up, bitch and fix us some breakfast.”
	Kitty sat up in bed, her eyes were blackened, her mouth swollen from the vicious beating. “What time is it?” she asked sleepily.
	“Time for you t get our ass out of that bed!”
	She got out of the bed and fixed bacon and eggs for the two men in her nightgown. They did not have to tell her, she knew that Willie was leaving home and would be taking her car in his travels. Normally, she would protest such plans, but this time, she was ready for him to go and she hoped that he would never come back. 
	“Me and Steve are goin’ out on a little job hunt,” Willie told her. We may be gone for a few days because it will probably take that long to find somebody that’ll hire a couple of ex-cons. It don’t matter where we have to go or where we have to move, we’ve decided that we’re gonna find us a couple of decent jobs.”
	Kitty sat there listening to his lies. “What made you decide on this?”
	“Because I’m tired of livin’ like a dog,” he shouted. “We’ll be leavin’ after breakfast.”
	She nodded her approval. She was not going to say anything that might cause Willie to hit her again.


	

	
		
	

	
	 




	
	
	
CHAPTER 7	

	It was around lunch time when Willie and Steve parked outside a convenience store in Sonora going over their plan to get them some more money. It was more than the cash for Steve, it was revenge. “Okay, my Aunt Betty lives around the corner and down the block from here. I’ll get out and walk the rest of the way. Give me thirty minutes and you drive down the road and pick me up,” Steve instructed him while he put on dark shades and a hat to disguise himself.
	“Don’t worry, I won’t let anybody see me, I’ll just blend in with everybody else,” Willie smiled. “Notice where I parked? The clerk inside the store can’t even see over here.”
	Steve nodded and got out of the car. He walked around the corner and down the street to Betty’s house. He walked up to the house and rang the doorbell. Betty did not recognize him when she opened the door. “May I help you?”
	“Yes,” Steve smiled as he reached up and took of the shades. Betty tried to slam the door shut, but he quickly caught it and forced his way inside the house. Betty stepped back frightened of him. “How ya been, Betty?”
	“What do you want here?”
	He walked over to her and suddenly hit her in the side of the head knocking her down. “Money!”
	“Take it,” she told him as she sat up in the floor hoping that maybe he would leave after he got the cash. “All I’ve got is fifty dollars.”
	He looked down at her smiling, took off his hat and pitched it to the side. He reached into his back pocket and pulled out a pair of surgical gloves. “I’m not as stupid as I used to be.”
	“You mean you’ve changed? For the better I hope.”
	He kicked her in the chest knocking her backward against the wall with his face turning that all too familiar red color to Betty. “Get your clothes off, I wanna fuck!”
	Betty started unbuttoning her blouse while Steve stood there watching her. She could not help herself, she started crying. “Why the tears?” he asked. “You used to be more than happy to fuck your little nephew when I was livin’ with you.” He knelt down in front of her and put his hands around her throat. “You wanna know who I see in your face, Betty? I see my old man.” He began to squeeze her throat cutting off all of her air. He tightened his grip as her eyes rolled up in her head. He began losing his own breath as he neared his orgasm while the choked the life out of her and watched her die. When he was sure that she was dead, he stood up, put his hat back on and walked to the kitchen and got the money out of her purse. He stuffed the money in his pocket and coolly walked out the door into the street where he began walking toward the store where Willie waited. 
	Willie checked the time on his watch and saw that it was time to go get Steve. He cranked the car up and began driving down Betty’s street. He saw Steve calmly walking toward him and slowed down. Steve quickly got in. “That bitch only had fifty dollars,” Steve told him as he got in the car. Drive back down to that store; I wanna get a Coke or a beer or something. Fifty damned dollars, shit!”
	“Relax,” Willie told him. “We’ll hit a store somewhere tonight and get some more money.”

	The clock on the wall inside of the convenience store read 2:33am when Steve and Willie walked in. The store clerk was a twenty one year old girl who took the job to help work her way through college. She watched as Willie went to the back of the store to the cooler to get a twelve pack of beer and Steve picked out the chips and snacks. “Sir, it’s after hours and I can’t sell you that beer,” she told Willie as he put the beer on the counter.
	“Aw, can’t you just make an exception for me just this one time?” Willie smiled at her.
	The clerk shook her head no. “I’m sorry, sir, but I’d get into a lot of trouble if I sold you that.”
	“I’ll tell you what; I’ll give you fifty dollars for this beer. You can pay the store their part and you can keep the rest,” Willie grinned.
	“Sorry,” she smiled at him just as Steve walked up to the counter and laid down his purchases. 
	“Bag this shit up for us,” he ordered. “You ain’t sellin’ us nothing, we’re takin’ it and we’re takin’ you with us!” 
	Willie stepped around behind the counter with her to the cash register. “Open this son of a bitch up,” he demanded. The girl opened the cash drawer up and Willie took out all of the money. “Is that all of it?”
	“Yes!”
	“There’s gotta be some more money in here, where’s the safe?”
	“There’s nothing in there,” she shouted. “The manager came in at midnight and took all of the money out.”
	“You ain’t lyin’ to us, are you?” Steve asked loudly.
	“No!”
	Willie stuffed the cash in a plastic bag and grabbed her by the arm. “Come on, you’re goin’ with us!”
