Janell Rhiannon
Uncross the Stars

Copyright @ 2014 by Janell Rhiannon
All rights reserved. No part of this publication may be reproduced or transmitted in any form or by any means, electronic or mechanical, including photocopying, recording, or any information storage device without permission in writing from the publisher or author. 
*
This book is a work of fiction. References to historical events and people, or real locales are used fictitiously. Other names, characters, places, and incidents are the product of the author’s imagination, and any resemblance to actual events or persons or locales, living or dead, is entirely coincidental. 
*
Kindle 1st Edition 
Cover Design by @ Regina Wamba of Mae I Design 
Edited by Melissa @ There For You Book Editing and Review 
*
You can follow the author at:
Janell Rhiannon @Facebook
Twitter @theravenangel
www.janellrhiannon.com

Acknowledgments
Whenever you sit and write for hours, days, months...you get sick of it. You get sick of your own story, of editing, of sitting...and you begin to doubt that you can finish the book. The saving grace for a writer is that precious handful of people who cheer you on any way they can. They let you ramble, vent, and send texts with sad faces. I’m sure that when I was at my wit’s end for the hundredth time, they wished I’d just finish the book. But, they let me continue the process and encouraged me along the way. So, to this little group who helped me push through Uncross the Stars, I give you my deepest gratitude. 
*
Jim, Nathan, Wesley, and Verni
And in a place of honor, for your assistance 
and a special brand of encouragement
Joy

Chapter 1
At midnight, Fiona and her mother finally pulled into the driveway of their new rental. Her mom cut the engine, but not the parking lights.
	“Looks like we made it, Fee.”
	Dario raised his eyebrows. “For a second there, I thought you had some magic in your pocket. Or pixie dust. Love’s not the answer. I don’t know. Maybe. I’ve never been in love.” He swallowed hard. “I’ve never had a girlfriend, Fiona.”
	“Oh. I wouldn’t have guessed that in a million years.” 
	“And I’m a virgin. I might as well tell you, before Ryan tells you. He’s hell bent on letting me know I need to lighten up. I’m pretty sure he’d see you as a target for me to hit.”
	Fiona clapped her hands together nervously. “Why me? I don’t understand what you’re getting at.”
	“Haven’t  you guessed?”
	“About what?”
	“You’re not going to make this easy, are you?” Dario asked.
	“I guess not.”
	“You’re the first girl I’ve ever liked. I mean really liked,” Dario confessed. 
	Fiona blushed. 
	“Aren’t you going to say something?” Dario asked.
	“You’re not the only one with a past you’d rather forget. You don’t have dibs on that sitch.”
	Dario looked at her, his eyes questioning. “Really?”
	Fiona didn’t particularly want to talk about her father, or step-father, or the other step-father, but Dario deserved to know his closet-skeletons had plenty of bony company. 	“Not sure where to begin.” She took a deep breath. Her palms got clammy. She wiped them against her jeans. “Whew. I can’t believe I’m going to tell you this.”
	“After what I just told you? You don’t have to say anything, if you don’t want to.”
	Fiona dove in. “My real dad. Him I don’t know. I don’t even know where he is. I’ve only seen one picture of him. My mom doesn’t talk about him much. Everything I know about him my grandmother told me, which wasn’t much. He was a nice guy. Loved reading. We have that in common. Apparently, I have his nose and eyes.”
	“So that’s where you get those,” Dario said, as he raised a hand to her cheek and ran his thumb over the brow of her eye. “They’re unusual in a good way.”
	Fiona shrugged as his touch ignited her heart. “That’s about all I know about my real dad. So, when I was little my mom married the first guy who promised to help her raise her kid and put a roof over our heads. He was gone by the time I was in second grade. Then, there was step-daddy dearest, Dominic. He was a real winner. Him I actually remember, unfortunately. He moved us out of Sierra Crest.”
	“Wait. You were from here?”
	“Yup. Born and bred from this good old town. Went to Washington Elementary and everything.”
	“So did I.”
	“Sometimes, I wish we never left.” Fiona sighed. “Nothing was ever right after that.”
	“I wish you never left, too. Hey, look you don’t have to talk about it any more. I get it.”
	Fiona stood up. “Well, Dario. Whenever I feel overwhelmed by life, chocolate or coffee is in order. And if you choose coffee, it has to have whipped cream on it or it doesn’t count.”
	“Starbucks?” Dario suggested.
	“Now, you’re talking my language.”
	Dario got up from the bench and reached for Fiona’s hand. “I really like you. A lot.” 
	Fiona let his fingers thread through hers. His hand was warm, strong. Somehow, she figured they’d figure it out. 
***
The after party began on the far side of the Renaissance Fair grounds, near the edge of the city park’s wooded island. Dario sat against a large rock with Fiona between his knees, her back pressed against his chest. Her arms rested on his knees, and his arms wrapped loosely around her waist. Dario watched the huge bonfire blaze orange and blue against the black night sky. The red hot cinders floated above the roaring flames, funneling up into the darkness. A hipster boy sat in the light of the fire strumming Coldplay songs on a guitar he hugged in his lap. Fiona’s back was warm against his chest. He leaned forward to smell her hair, soft against his face.
	“Your hair smells like campfire,” he said.
	“Thanks. I think.”
	“Don’t worry. It’s a good thing. I like it.” He let a strand of her hair slide through his fingers.
	“Okay, in that case, thanks.” Fiona turned to look at him and smiled.
	“Did you notice how bright the stars are?” Dario asked.
	She leaned her head back against Dario’s shoulder and looked up. “No, not until just now. They look like blinking jewels.” 
	“You want to take a walk?” he asked.
	“It’s dark. Where would we walk to?”
	“Trust me. I know a place. The view is spectacular.”
	“Okay.”
	Dario got up first and slapped the damp grass off his jeans, then he extended his hand to Fiona and she reached for it without hesitation. He held her hand low next to his thigh so that as they walked their legs sometimes bumped their clasp hands. The light and noise of the gathering faded as they walked along the edge of the city park’s planned woodland. Dario wanted to tell her how pretty he thought she was, but kept the words to himself. He didn’t want to say the wrong thing and come on too strong. His avoidance of girls had handicapped him for this situation. He knew next to nothing about girls, except that he wanted Fiona. Within minutes they reached a small trailhead.
	“We have to go down this way.” Dario pointed to the dirt line that faded into shadows and darkness. He pulled out his phone and switched the flashlight on high, beaming the bluish light down the intended path.
	“That looks scary,” Fiona said. She backed up a step. “I don’t know.”
	“It’s okay. I promise.” Dario reassured her by releasing her hand and putting his arm around her shoulders. “I’ve got you.”
	“It better be worth it. What if a tree monster grabs us or the Wild Things kidnap us?”
Dario stiffened a little. “The Wild Things? You mean the kid book?” He hadn’t thought about that book in forever. Without knowing it, Fiona broke the seal on the lid to his Pandora’s Box.
	“Those little monsters freaked me out. I hate that story about Max and their gnashing teeth and all that. In a forest. This looks like that forest.”
	“It’s not my favorite story either,” Dario said. He pulled her a little closer. “It’s just some trees. It’ll be fine. I know where I’m going.” They followed the thin glow projected by his phone. The well-trodden path wound around trees and rocks. The branches soon canopied overhead blocking out the white points of light above and the sky itself. Dario held her tight against his side. He pulled her just a little closer and kissed the top of her head. He liked how she leaned into him. He hoped she felt safe.
	It seemed like they were lost in the shadows of the low hanging branches and tree trunks when the night sky popped into view. They stepped out into a small hidden meadow circling a huge boulder.
	“Welcome to Boulder Meadow,” Dario announced. “Come on.”
He led her through the low grass and late summer flowers bowing their sleepy heads to the earth, closed for the night.
	“Wow. It’s a lot bigger close up,” Fiona said. She put a hand out to touch it. “It’s cold.”
	Dario led them around the rock to a place with an easily accessible cleft serving as handholds and footholds. They scaled the giant rock to the very top.
Fiona stood and looked out over the meadow. “It’s all silver in the moonlight. It’s beautiful.”
	“Most people forget this is here. It’s my favorite spot to be under the stars,” he said. “Here and, now, the pond.”
	Fiona turned to face him. “Why’s that?”
	“You know why,” Dario said, looking down into her eyes. “You.”
	Fiona blushed and looked away.
	“Is something wrong?” Dario asked.
	“No. Not at all.”
	Dario sat on the rock. Fiona sat next to him. He put his arm around her, guarding her from the chill. “You want to see something really cool?”
	Fiona nodded. “Of course.”
	“Lay back and look up.” He leaned back, opening his arm so she could lay next to him. “Look at that.”
	Fiona settled in the nook of his arm and looked up at the sea of stars. “I’ve always thought stars looked like dancing dots of light. Little flames across the sky. This view really is spectacular. Thanks for bringing me here.”
	Dario hugged her a little tighter to his side. She warmed him from the inside out. 	“I have a confession, Fiona.”
	“What’s that?” she asked, as she turned to face him.
	“When we were at the pond I wanted to kiss you.”
	“I have a confession, too.”
	“What’s that?” he asked and smiled up at the sky.
	“I wanted you to.” She rolled onto her side with Dario still cradling her shoulders.
	“I’ve never kissed a girl like this.” He gave up another truth and met her gaze.
	“Like what?” she asked.
	Dario swallowed hard. He leaned his head down, stopping just as his lips made contact with hers. He could feel the heat of her breath, the soft curve of her bottom lip. Then, he pressed his mouth against hers. Her lips parted. She was sweet, and soft, and stirred a long dormant hunger. He rolled completely on his side, wrapping his arms around her tightly. He kissed her harder. Fiona wrapped a leg over his, pulling him closer to her, smashing their bodies completely against each other.
	His body had a mind of its own. It told him he wanted her. He wanted more than this kissing. His hands roamed to her unknown curves. His brain screamed for the emergency brake.
	Fiona pulled her mouth away to whisper, “If you want to…”
	Her offering jarred him to his senses. He’d jumped with both feet into an all-consuming fire. And he’d done it without realizing it would happen. If he didn’t stop now, he wouldn’t be able to stop the swell of emotions and needs urging him forward. No girl had ever tugged so sweetly on his heart, until now. He sat up, pulling her with him. “It’s getting kind of late. We should be getting back. I still have to get you home.”
Fiona sat up and looked away. “Sure. Okay.”
	Dario helped her down the rock by the same path they had climbed up. They walked all the way back to the bonfire in silence. Dario was confused by what happened on the rock. He was afraid of how he wanted her, how she was reaching all the hidden places in his heart.
	On the way back, Dario noticed that Fiona didn’t lean into him the way she had earlier. He wondered what she was thinking. He hoped she knew how much he wanted her. He wanted to just tell her, but that would take him down a path he wasn’t certain he wanted to go.  

Chapter 8
Fiona checked her phone for the one-millionth time. Dario hadn’t texted her since the after party. They saw each other at school all week, but he was always busy with practice or after school tutorials. She knew something was wrong, which reaffirmed her fear that maybe he didn’t like her anymore. That she’d done something to make him go away.
	So when her phone dinged a text Saturday night, she was passed expecting Dario’s name to show up.
	Dario: hey I think we present Monday
	Fiona: Yeah. We do.
	Dario: Thought so. Maybe we should practice.
	Fiona: Been wondering about that.
	She waited for his reply. Several minutes later, his bubble popped up.
	Dario: Yeah…sorry about that. I’ve been busy.
	Fiona: Sure. No problem.
	Dario: Should I come over tomorrow?
	Fiona: Sure. Can you make it by 2? I have a research paper I have to finish.
	She lied.
	Dario: cool :) see you
	Fiona stared at the conversation bubble: “cool :) see you.” It rang generic in her mind. It didn’t feel like the Dario she’d being discovering the last couple of weeks.
***
When Sunday afternoon came, Dario showed up just before two. She answered the door and realized she had no idea what to say. Anxiety about why his texting suddenly stopped, why he pulled away after their kiss on the rock, and his general distance kept her from extending her usual smile.
	“Hey,” she said.
	“Hey, Fiona,” Dario said.
	“Come in.”
	Dario walked through the door and stood in the foyer.
	“I guess we can study in my room, again,” Fiona said. They walked silently down the hall to her room. Fiona wanted to just blurt out the question between them. What happened?
	They lay on the floor facing each other like they usually did, with books open, leaning toward each other on their elbows. The closeness they had shared at the pond and Boulder Meadow was now replaced with awkwardness. Fiona felt the chasm between them and she wanted to build a bridge and get back to where they were, but she had no clue if that’s what Dario wanted. 
	“We could use the desks to make a balcony,” Fiona said.
	“That could work,” Dario said.
	“Do you want to read for a while?”
	“Where do you want to start?” he asked.
	“Line sixty-two, I guess, where Juliet says: ‘How did you get here? The orchard walls are high and hard to climb. And if any of my family discovers you, they’ll kill you.’”
	“Love gave me wings to breach these walls. Nothing can keep love out. If love dares to do it, it can be done. Your family worries me not.”
	“But, they will murder you.”
	“A glance from your eyes is more dangerous than twenty swords. Your favor protects me.”
	Fiona stopped. “Really? That’s what that means? Are you sure?”
	“Positive,” Dario said.
	“Okay. Where was I? ‘I don’t want them to find you here.’”
	“The night hides me well enough. But if you love me, then let them come.” Dario’s voice softened. “I’d rather die by their hate, than live without your love.” Dario reached a hand to hers. “I’m sorry I’ve been busy.” Dario squeezed her hand. “That and I’m a little nervous about what comes next.”
	“I thought I’d done something to make you mad,” Fiona confessed quietly.
	“No. Not at all.” He looked into her eyes. “I’ve never met anyone as beautiful as you, Fiona Lavender.” He leaned over the books, his face just inches from hers. “Kiss me,” he said. “Slowly.”
	Fiona glanced down at his mouth, curving in a slight smile, then back to his eyes which were still on hers. Without closing her eyes, she reached the short distance between their lips. “I thought you’d never ask.” His breath tickled her lips.
	“How about now?” he said.
	Fiona pressed her mouth to his, making sure the kiss was deliberately slow. Just the slightest taste of his lips made her want more, but she held herself from pressing further. Dario broke the connection first.
	“I was wondering if you’d come to my game this Friday?”
	“Sure, I guess so.”
	“Will you wear my jersey?” Dario asked. “It’d mean a lot if you would.”
	Fiona nodded. “I’d be happy to.” She knew that the awkwardness gripping them an hour ago had melted into the background and their familiar ease had returned.

Chapter 9
	“I’m a little nervous,” Fiona admitted.
	“Me, too,” Dario whispered.
	“What if Mrs. Shandy thinks it’s not good enough?”
	“Not possible. I’m more worried about dropping a line.”
	“You were perfect yesterday.”
	“That was yesterday.”
	“I wasn’t even worried about that, until now. Thanks,” Fiona said.
	“You’re welcome.” Dario disarmed her with a flash of his pearly whites.
	Fiona narrowed her eyes in mock annoyance. “You’re a pain in the ass.” 
	“And what a beautiful ass it is,” Dario replied. 
	Fiona looked at him with feigned malice, “You’re impossible.” 
	Everyone clapped, signaling someone’s presentation just finished. Neither Dario nor Fiona had been paying attention.
	“Miss Lavender and Mr. Martinez. Are you ready?” Mrs. Shandy asked, looking over the black rim of her librarian eye glasses.
	“Yes, we’re ready,” Dario said. He got up and walked to the front of the room. Fiona took longer getting out of her desk seat. The walk to the front of the class took forever. Dario slid an empty desk and chair combo to the front, turning it sideways, positioning it as the balcony. “My lady,” he said, as he gestured for her to sit on the desktop. Some students giggled. A few girls sighed, “Aw.” Fiona sat on the desk, facing partially away from the class, while Dario sat in the chair with his legs facing the class.
	Mrs. Shandy pushed her glasses up at the nose bridge. “We’re ready when you are.”
	Fiona took her cue and looked forward, ignoring Dario completely, as he spoke.
	“He makes fun of something he’s never known.” Dario looked up at Fiona. “What is that light in the window? It is Juliet. It is the sun. Swing full into the sky. Eclipse the jealous moon, silver ball sick and pale with envy because you are more beautiful than she. It is my lady. My love. If only she knew that I loved her.”
	Someone laughed. Fiona thought it sounded like Ryan, but kept her composure. 
	Mrs. Shandy shushed the class. “Continue,” she said.
	“Her mouth moves, but I can’t hear her words. Should I shout out? Tell her I’m here? Wait. She might not even be talking about me. Look how she leans her cheek on her hand. I wish I was a glove on her hand, so I could feel that soft cheek.”
	“Aye, me,” Fiona spoke.
	“She speaks. Speak again bright angel. You are as glorious as the night sky above me. You astound me with your beauty.”
	“Oh, Romeo. Romeo! Why did you have to be Romeo? Forget your father, your family and be mine. Or, I will deny mine, and be yours.”
	“Should I wait? Or speak now?”
	“It’s only your name that’s an enemy. Not you. You are, you. What’s a name anyway? It’s not really a part of you. Not any part that makes you a man. Call yourself anything else. A rose would still smell as sweet, even if it were called by a different name. It’s the same with Romeo. If he had a different name, he would still be divine perfection in my eyes. Romeo, forget your name and take all of me.”
	Dario took Fiona’s hand. “I take you at your word. Call me your love, and I will take a new name. From today forward, I’ll not be Romeo.”
	“Who’s spying on my private thoughts?”
	“I don’t know how to answer that, since my name is hateful to us both. My name is your enemy. If it was written, I’d tear it up. Throw it away.”
	“I haven’t heard you speak a hundred words, but I know your voice. Aren’t you Romeo? And a Montague?” Fiona looked into Dario’s eyes and found her heart warming at his glance, releasing the butterflies she so desperately tried to cage.
He kissed Fiona’s hand. “I’m neither. If either name offends you.” Their eyes locked. All Fiona could see was Dario. Dario at the pond. Dario laying next to her on the boulder. Dario kissing her. 
	Dario broke the spell she was under when he spoke. “Well, that’s it so far.”
The silence hung for a few more moments, until Megan thankfully blurted out, “That was pretty damn good.” She started clapping. Soon, everyone followed her lead, even Mrs. Shandy.
	“That was well-done. I wasn’t expecting such a good go the first time out,” Mrs. Shandy admitted.
	“Oh, come on Mrs. Shandy. You know I love this stuff.”
The teacher smiled wryly. “I suppose I do now. Go ahead take your seats.”
Dario extended a hand to help Fiona from the desk top. “My lady.” The class cackled and hooted. Ryan shouted, “Lover boy.” Dario shrugged ignoring Ryan and smiled at Fiona. As they sat down, Dario took the seat behind Fiona, and whispered in her ear, “Nice work.”
	She turned around to catch his brilliant smile aimed right at her heart. “Thanks. Not bad yourself, my Lord.”
	“Now, you’re playing my game.”
	“Is there a touchdown in this game?” She wiggled her eyebrows.
	“I’m not sure,” Dario said.
	“I guess we’ll play it by ear,” she whispered back.
	“Remember to wear my jersey Friday.”
	“Okay.” Fiona smiled back at him, hiding her disappointment that he’d deflected their playful banter in a different direction. She wondered if he still liked her, liked her. She had a hard time hanging on to the fact that he’d already confirmed that he liked her. Doubts and insecurity colored everything where Dario was concerned. 

Chapter 10
Fiona put the jersey on. It was really big. The shoulders hung down to her elbows. The length hung almost to her knees, so she tried knotting it up on the side. She assessed herself in the mirror hanging from the back of her bedroom door. “At least you can see I have shorts on,” she said to her reflection.
	She went downstairs where her mother greeted her with raised eyebrows. “My, my! Is that that boy’s jersey?”
	“Mom!”
	“I know it’s not yours.” Her mom teased.
	“I haven’t even had breakfast, or coffee. And twenty questions.”
	“It was a single question, Fiona. And, I’ve already been to Starbucks. You’re welcome.”
	Fiona spied the venti to-go cup with her name on it. “Caramel macchiatto?”
	“Yup.”
	“Sorry, Mom.” Fiona picked up the coffee, took a sip and apologized again. “Really. Sorry, I jumped down your throat. Yes. This is Dario’s jersey.”
	“Who’s Dario?”
	“The guy from my English class project.”
	“Oh! Tall and handsome Romeo.”
	“Mom! Gah!”
	“What?”
	“Can’t we talk without arguing?”
	“No one’s arguing, Fiona.”
	Fiona rolled her eyes. “Forget it. But, thanks for the coffee.”
***
As Fiona walked down the main hallway, she caught several furtive glances cast in her direction. Some looks passed as friendly, others not so much.
	“Hi,” said some girl Fiona didn’t even know.
	“Hi,” Fiona said back, as they passed in front of the math wing. She looked down at her feet and smiled to herself. She couldn’t help it. It felt good being noticed for something other than being the new girl. Her free hand reached up and touched the number four on her chest. Dario’s number. Dario’s jersey. She knew the extra attention was because she was wearing the star quarterback’s jersey. Today might just kick ass, she thought.
	As she entered math class, Ryan waved her over. It was the only class she had with Ryan other then English. Without Dario around, Ryan was kind of a jerk and she wondered why Dario liked him so much.
	“Hey, Ryan,” she said.
	“Hey, yourself, Miss number four.”
	Fiona blushed a little and touched the white number on the front of the jersey for the one-hundredth time. “Dario asked me to wear it today. My first game.”
	A wicked grin curved Ryan’s lips. “Oh, I doubt that.”  
	“What?” Fiona asked. Ryan’s comment slapped her dignity. 
	“I said I highly doubt this is the first time you’ve been to a game. A football game.” Ryan’s clarification passed through his smile, which Fiona swore had morphed into a sneer.
	“It is,” Fiona mumbled.
	“That makes you some kind of virgin, doesn’t it?”
	“Whatever, Ryan,” Fiona said. She turned to find a seat across the room.
	“Hey! Fiona! Come back here! I’m just hassling you. Come on. Sit by us.” Ryan gestured to the desk behind him. Ellie sat next to him.
	Fiona turned back, considering him for a moment. He was Dario’s best friend. Make an effort to like him jackass or not. “Okay. Sure,” she said. She took the proffered seat. “You know you can be a little annoying.”
	Ryan laughed. “If I had a dollar for every time Dario said that I’d be a rich man!”
	“I don’t think you’re annoying, baby,” Ellie said.
	Meagan strolled into class just as the tardy bell rang. “Hey!” she shouted. “I made it!”
	“Barely, Meagan,” said Mr. Radin. “Take a seat, please.”
	“I am. I am.” She took the seat next to Fiona, behind Ellie. As soon as Mr. Radin started the lesson, the class quieted down. Meagan leaned over and whispered, “I see you’ve got Prince Charming’s jersey on.”
	“Yeah,” Fiona said. She couldn’t quite look her friend in the eye. The smile she held in check threatened to burst into full bloom. Fiona wouldn’t risk it. “It was nice of him.”
	“Oh, it was more than nice of him.”
	“I guess.”
	“You don’t get it do you?”
	“Get what?”
	“What it means to wear a guy’s jersey on game day.”
	“Yes, I do. I see people looking at me because of it.”
	Meagan slapped Fiona’s arm. “If a guy asks you to wear his jersey, it means he thinks you’re special. He’s singling you out from all the other girls.”
	“Oh,” Fiona whispered. Giddy butterflies circled in her stomach. Fiona hadn’t realized the significance of the jersey at all. She hoped this meant Dario liked her as much as she liked him. 
	“Dario’s never asked a girl to wear his jersey before. And I mean never. Not in the history of our school. That makes you his first. You’ve done what a hundred girls wish they could’ve done.”
	“What? Wear his jersey?”
	“You’ve de-flowered him.”
	Fiona looked up, catching the wink and nod Meagan directed at her. She immediately put her head down as the heat of Meagan’s words caught fire in her chest. 	Mr. Radin’s voice faded to muffled non-sense. Dario. She thought of his blindingly gorgeous smile. His soft, kind brown eyes. She smiled despite her best effort not to. Dario. I’m falling for you. And I can’t stop. I don’t want to stop. She recalled the moment at Boulder Meadow when his kisses turned from exploration of her mouth to hungry for something bordering on dangerous. She’d been willing to go further, but he’d pulled back and then ignored her for an entire week. Their closest moments so far were always followed by Dario retreating. She didn’t know how to avoid this pattern. She wanted Dario to want her, not run from her.
 
Chapter 11
The varsity game began with the sun high in the fall sky. Fiona walked to the student section and found an empty space to sit on the hot metal bleachers. She wore sunglasses, a baseball hat with her long hair pulled through the back opening making a ponytail, Dario’s jersey and jean shorts. She wished she’d listened to her mother and brought a blanket to sit on. I hate it when she’s right! She sat down and the scorching metal bleacher stung the back of her legs. Great. Probably gonna get ridges burned into the back of my thighs. Sweat trickled down Fiona’s back. Dario promised her that his mom had washed it twice, but Fiona was certain no amount of laundry soap could ever get the stench of hundreds of sweaty football practices completely out. She conjured Dario’s smile in her mind’s eye. I would sit under a thousand suns to see that smile. 
	Across the field, Fiona saw the team lining up. They were too far away to make out individual players, but she knew Dario was in there somewhere. The band began to play. The football team charged onto the field hollering at the top of their lungs. A player carrying a gold-fringed American flag led the charge. The entire student section stood up and started screaming. Soon, everyone was screaming. Parents waved number-one-shaped foam fingers, homemade signs, and the collective shouts resounded in a deafening roar. The excitement of the crowd was contagious and Fiona found herself yelling, too. She scanned the line of jerseys looking for number four. Then, she saw him. And, as if on cue, Dario turned around scanning the student section. Their eyes met and he pointed at her. She waved. Then, he was off to warm up on the field.
	Fiona watched as Dario and six other players jogged to the back end of the warm-up area. One player tossed Dario the ball and he threw it to players running various patterns. They’d run left or right. Pivot. Turn. Catch. Throw it back to the guy next to Dario, and it started all over again. Sometimes, they dropped the ball. A few times, Dario threw the ball over them or in front of them. But, they kept drilling. A man’s voice boomed over the loud speakers.
	—Ladies and gentlemen, please rise for the playing of our National Anthem.
	Both teams lined up along the side lines, took their helmets off, and faced the huge flag at the eastern end of the stadium. The band played the National Anthem. Fiona mouthed the words as the music blared. When the last note rang out, the crowd roared. 	The band played the school’s fight song, which Fiona didn’t know, yet. 
	Dario and three other players walked to center field. Fiona watched the official toss a coin and then point toward the east. The announcer’s voice boomed again.
	—And Sierra Crest has the ball.
	“Fee!”
	Fiona scanned the crowd.
	“Up here!”
	Fiona turned all the way around and saw Meagan. She waved and smiled. Meagan pushed a few people out of her way making a path through the bodies to Fiona’s side. 	“Whew! Didn’t think I’d find you.”
	“Glad you did. Thought I was gonna sit by myself the entire game.”
	“Nah. I’m persistent. How’s the experience so far?”
	Fiona wiped a thin trickle of sweat from her cheek. “Pretty awesome, but hot as hell.”
	“You aren’t kidding. I need something cold to drink.”
	The crowd roared. Fiona looked toward the field just in time to see a player from Sierra Crest run the ball into the end zone.
	Meagan yelled, “Woo-Whooo!” 
	The band played. The cheerleaders dropped down to do push-ups. The crowd waved their signs, their hands, and screamed their delight.
	By halftime, Fiona was starving. “Where do we get something to eat?”
	“You okay with greasy crap?” Meagan asked.
	“Sure.”
	“Good. That’s all you can get here,” Meagan laughed.
	Fiona ordered nachos with jalapenos. The concessionaire drenched the tortilla chips in melty cheese sauce and dumped a little plastic cup of hot peppers right on top. She dipped her finger in the cheese, scooping up the golden goo, and licked it. “This is so bad for me. But, it’s so frickin’ good.”
	Meagan loaded her order with ketchup, mustard, onions and relish. “I prefer the hot dogs,” she said. “The works or zilch for me.” She took a huge bite of her over-loaded dog, squishing a blob of relish and ketchup to the ground. She licked the corner of her mouth. “Hot-dog foul.” 
	When they returned to their seats, the second half had already started. The sun, now tucked behind the horizon, took the heat and light with it. The giant banks of stadium lights flashed on their artificial sunlight onto the field with several loud clicks. Fiona marveled how clearly she saw everything. Flying bugs and moths hung in the warm night air. Bats flew erratic patterns and dipped into the light only to fly out as fast as they flew in like tiny Batmans.
	“I have to admit this is pretty cool. I can’t believe I’ve never been to a football game before.”
	“Admit it, Fee. It’s only because of Dario.”
	“No. Yes. No.” 
	“Yes way. Look chicky. I saw you and Prince Charming in class.”
	“That was just an assignment.”
	“Let me rephrase that,” Meagan cleared her throat. “We all—” She swirled her index finger in a circular motion. “We all saw you in class. Both of you.”
	“It didn’t mean anything,” Fiona insisted.
	“Just like you wearing his jersey doesn’t mean anything.”
	Fiona’s cheeks flamed red with embarrassment. “Meagan! He was just being nice.” 	
	“You’re blushing!” Meagan teased.
	“No, I’m not.” Fiona smiled so big, her cheeks burned.
	“Let’s just see who’s right, shall we?”
	Forcing her mouth into a straight line, Fiona said, “Whatever.”
	The announcer could barely be heard above the crowd.
	—Ladies and gentlemen, it looks like we’re all tied up 14 to 14.
***
On the field, Sierra Crest had possession of the ball on the thirty yard line. Dario saw the coach signal for a passing play. He suspected the defense would be expecting that. They’d been all over his receivers the entire first half. He scanned the defensive line after the huddle. Sure enough, the defense shifted, lining up to cover Zeek, Bart, and Fabian. He eyed the safeties and two corners setting about seven yards back. He realized they expected a pass to Fabian. He took position behind the center and called, “HIKE!” Ball in hand, he dropped back, scanning the field for his check-down guy. Zeek was covered. Fabian was going deep. Dario dropped back again, seeing Bart covered. He cursed out loud and zeroed in on Zeek again. Still covered, but…Last drop back, and Dario threw to Zeek who’d managed to break free from the man covering him. Pass complete. Twelve yards. First down. Dario heard the muffled roar of the crowd cheering his team on.
	On the break, Dario knew the defense expected more of the same. This time, they lined up like they thought Zeek was a bigger threat than Fabian. He’d let them roll with that mistake. On hike, Dario dropped back, and back and the pocket began collapsing around him. He scrambled to find Fabian. Everyone was covered. Then, the unexpected presented itself, as both teams parted in mutual combat, a green path opened under his feet. Dario tucked the ball in his elbow just as the space around him filled with his rival’s colors. By the time the defense realized he was running with the ball, Dario was half way to the end zone. No one expected him to run. In the corner of his right eye, he caught two guys bearing down on him. Another from the left. He felt them closing the gap behind him. He kicked it into high gear. He saw the blur of turf beneath his feet. Touchdown! Fans stood and cheered.
	As his teammates ran to congratulate him, Dario’s eyes scanned the stands. That was for you, Fine Fiona.
***
Dario saw Fiona talking with Meagan in the stands. He waved her down so she could meet his parents, who were just a little too eager to meet her. He watched her walk slowly down the cement stairs toward the field gate, across eight lanes of track. He knew she was probably nervous. 
	When she approached, Dario took her hand. She looked up into his eyes and made a fake smile. Dario pulled her to his side to let her know it was going to be okay.
	“So, this is the young lady lucky enough to wear your smelly jersey,” his mom said.
	“Mom! Please,” Dario said. “See. This is why I never introduce you to any girls.”
	“Son. There haven’t been any other girls,” his dad said.
	Dario looked mortified. “Dad!” 
	“Thanks for washing the jersey, Mrs. Martinez,” Fiona said.
	“You’re welcome,” Dario’s mother said. She turned to her son. “Aren’t you going to introduce us to your girlfriend?”
	Dario shot his mom a look that could’ve felled a wild boar. He shook his head. 	“This is Fiona. Fiona, these are my parents.”
	“Nice to finally meet you,” his mom said.
	“Yes,” his dad added. “It’s certainly a pleasure.”
	An awkward silence passed between Dario and his parents. Fiona looked down at her feet, toeing the edge of the track where the grass met the lanes.
	“Okay, dear. Maybe we should let these two have a little privacy,” his mother said. She winked conspicuously at her son.
	“Mom. We don’t need privacy.”
	“So you want us to stay?”
	“No!” Dario shot a fast and desperate glance in his father’s direction, pleading silently for help.
	Dario’s father answered him by taking his wife’s hand. “I think he’s had enough embarrassment for one night. See you at home, Son.” His parents walked off without looking back, leaving Dario and Fiona standing alone.
	“Did you like the game?” Dario asked.
	“Yes, it was fun. Much better than I expected.”
	“I’m glad you liked it.”
	“I saw you make a goal.”
	“Touchdown,” he corrected.
	Fiona winced at her mistake. “Touchdown.”
	“I don’t usually run the ball, but—”
	“Thanks for letting me wear your jersey. It was nice of you.”
	“I didn’t do it to be nice.”
	“I thought…,” Fiona looked down. 
	Dario realized that his words had once again caused the smile to slip from her lips and from her eyes. Get it right Martinez! Quit talking. Do something.
	Dario knew he smelled like a muddy, swampy riverbank, when he reached a hand behind Fiona’s head and leaned his head down toward hers. He brought her face close enough to his that their lips gently brushed together. His knees shook a little, because kissing her turned him upside down every time. The feel of her lips on his made him want to throw his blinking caution light into the ocean and never look back. He hoped she didn’t care what he smelled like right now. Then, without further hesitation, he kissed her. Her lips tasted like nacho cheese and jalapenos, and he didn’t care. This was him kissing her. And if he wasn’t certain about Fiona before, he was certain now. His heart beat so loudly in his ears; he thought she must be able to hear it, too.
